context_window,complexity,mean_agents_used,mean_cloud_tokens,mean_quality,exact_answer_rate,rag_only_rate
4096,complex,2.814516129032258,15886.263440860215,0.7820974709313866,0.0,0.0
4096,medium,2.2946859903381642,12338.867954911433,0.8403609684678246,0.7359098228663447,0.001610305958132045
4096,simple,1.0991325898389095,7312.784386617101,0.9472797136294457,0.9938042131350682,0.23667905824039653
8192,complex,2.814516129032258,19924.155913978495,0.8955924244887882,1.0,0.0
8192,medium,2.2946859903381642,14402.38808373591,0.9328071886915085,0.998389694041868,0.001610305958132045
8192,simple,1.0991325898389095,7341.075588599752,0.9505521728527042,0.9938042131350682,0.23667905824039653
16384,complex,2.814516129032258,20268.763440860213,0.9085603865494196,1.0,0.0
16384,medium,2.2946859903381642,14402.38808373591,0.9326551702017588,0.998389694041868,0.001610305958132045
16384,simple,1.0991325898389095,7341.075588599752,0.9496164129883393,0.9938042131350682,0.23667905824039653
32768,complex,2.814516129032258,20268.763440860213,0.9078078371107677,1.0,0.0
32768,medium,2.2946859903381642,14402.38808373591,0.9327061888082242,0.998389694041868,0.001610305958132045
32768,simple,1.0991325898389095,7341.075588599752,0.9501494227391516,0.9938042131350682,0.23667905824039653
